type,rating,episodes,members
Movie,6.318058336961254,1.1023890784982935,10360.340715502556
Music,5.588995901639344,1.1314168377823408,1311.8401639344263
ONA,5.64329754601227,6.877650897226753,4114.030349013657
OVA,6.375220700152207,2.4176632934682614,5986.139836907279
Special,6.523500897666069,2.5613405146618793,7676.060859188544
TV,6.902299101062381,35.91559530463946,42683.6583047267
